transaction_id,customer_id,transaction_date,region,customer_type,product,quantity,sales_amount,discount,gst_amount,payment_method,order_status,source,support_tickets
TX000047,101361,2025-08-07,North,Existing,Invoice Pro,5,22639.11,0.0,4075.04,Bank Transfer,Completed,Offline,0
TX000048,102695,2025-01-22,East,Existing,Data Analytics,3,25949.03,0.05,4670.83,UPI,Completed,Online,2
TX000049,102157,2026-03-20,North,Existing,Invoice Pro,5,20871.36,0.0,3756.84,UPI,Completed,Referral,0
TX000050,100140,2026-02-22,Northeast,New,Data Analytics,2,17841.47,0.1,3211.46,Card,Cancelled,Online,0
TX000051,104335,2025-12-31,North,Existing,Payroll,2,13797.74,0.0,2483.59,UPI,Completed,Referral,4
TX000052,103075,2025-07-30,Central,Existing,Data Analytics,5,44164.12,0.0,7949.54,Card,Completed,Offline,1
TX000053,104418,2025-09-03,East,Existing,GST Filing,1,1300.27,0.0,234.05,Card,Completed,Online,2
TX000054,103125,2025-09-30,South,Existing,GST Filing,4,6943.67,0.1,1249.86,Card,Completed,Offline,2
TX000055,103287,2026-05-30,West,Existing,Payroll,4,22145.88,0.0,3986.26,UPI,Completed,Online,2
TX000056,100984,2025-09-28,North,New,GST Filing,4,7556.04,0.05,1360.09,Card,Completed,Online,1
TX000057,103951,2025-10-10,South,Existing,Invoice Pro,1,3271.22,0.05,588.82,UPI,Completed,Online,1
TX000058,100549,2026-01-12,North,New,Invoice Pro,2,8523.44,0.05,1534.22,Cash,Completed,Offline,0
TX000059,101291,2025-05-16,West,Existing,Payroll,2,13228.95,0.0,2381.21,UPI,Completed,Online,0
TX000060,103442,2025-06-08,East,New,Data Analytics,3,26664.91,0.0,4799.68,Card,Completed,Online,0
TX000061,102410,2025-09-20,East,Existing,GST Filing,1,1573.32,0.1,283.2,UPI,Cancelled,Referral,1
TX000062,101540,2026-03-01,West,New,Payroll,3,24428.36,0.0,4397.1,UPI,Cancelled,Online,0
TX000063,102851,2025-04-05,West,Existing,Data Analytics,1,8352.13,0.05,1503.38,Bank Transfer,Completed,Online,1
TX000064,100177,2025-11-27,East,Existing,Data Analytics,5,47873.35,0.0,8617.2,UPI,Completed,Offline,2
TX000065,101796,2026-06-13,Northeast,Existing,Invoice Pro,5,-17883.11,0.1,-3218.96,Bank Transfer,Refunded,Offline,0
TX000066,104690,2026-05-17,Northeast,Existing,GST Filing,2,3928.01,0.05,707.04,Card,Cancelled,Online,1
TX000067,102951,2025-01-21,North,New,GST Filing,2,3373.61,0.05,607.25,UPI,Completed,Referral,1
TX000068,103061,2025-01-30,North,New,Invoice Pro,2,8358.86,0.1,1504.59,Card,Completed,Referral,2
TX000069,101616,2026-03-28,South,New,Invoice Pro,5,20405.23,0.0,3672.94,Card,Completed,Online,5
TX000070,103168,2025-07-11,North,New,Payroll,1,6262.2,0.1,1127.2,Cash,Cancelled,Online,0
TX000071,101458,2025-01-18,Northeast,New,Payroll,5,33328.33,0.0,5999.1,Card,Completed,Offline,3
TX000072,103864,2025-08-22,East,New,GST Filing,5,10128.2,0.0,1823.08,UPI,Completed,Online,3
TX000073,102702,2025-06-02,North,Existing,Payroll,2,14156.6,0.0,2548.19,UPI,Completed,Online,1
TX000074,102520,2025-06-21,Central,New,Payroll,2,13446.67,0.05,2420.4,Card,Cancelled,Online,2
TX000075,104345,2025-12-27,West,Existing,Invoice Pro,3,10829.92,0.05,1949.39,UPI,Completed,Offline,0
TX000076,100484,2025-03-11,West,Existing,Invoice Pro,1,3731.84,0.05,671.73,Card,Completed,Online,1
TX000077,100298,2025-06-23,South,Existing,Invoice Pro,3,12419.35,0.05,2235.48,Cash,Completed,Online,0
TX000078,100725,2025-05-26,East,Existing,GST Filing,2,3621.03,0.0,651.79,Cash,Completed,Online,2
TX000079,102107,2025-02-27,West,Existing,Data Analytics,5,39842.65,0.1,7171.68,UPI,Completed,Referral,0
TX000080,103828,2025-01-01,North,Existing,Payroll,4,23855.64,0.05,4294.02,Card,Completed,Online,1
TX000081,102249,2026-04-29,West,Existing,Invoice Pro,4,14992.41,0.05,2698.63,Cash,Completed,Offline,1
TX000082,104459,2025-12-16,Central,Existing,Invoice Pro,2,8200.18,0.0,1476.03,UPI,Completed,Online,1
TX000083,103449,2025-05-27,West,New,Payroll,2,10456.96,0.1,1882.25,UPI,Completed,Offline,1
TX000084,104865,2025-04-05,East,Existing,Invoice Pro,4,16921.64,0.05,3045.9,Card,Completed,Offline,0
TX000085,102691,2026-03-12,West,New,Invoice Pro,5,24103.2,0.0,4338.58,Card,Completed,Referral,2
TX000086,104839,2025-02-03,Northeast,Existing,Data Analytics,1,10360.95,0.05,1864.97,UPI,Completed,Offline,1
TX000087,101951,2025-01-08,West,Existing,Payroll,2,14935.78,0.0,2688.44,Card,Completed,Offline,1
TX000088,100258,2026-03-27,East,Existing,GST Filing,3,4983.77,0.1,897.08,Card,Cancelled,Referral,4
TX000089,101361,2025-01-03,Central,Existing,Data Analytics,2,17128.07,0.15,3083.05,Card,Completed,Referral,0
TX000090,101641,2026-01-02,South,New,Payroll,2,13954.32,0.05,2511.78,Card,Completed,Online,1
TX000091,102684,2026-05-26,West,Existing,GST Filing,2,3923.07,0.0,706.15,Cash,Completed,Online,1
TX000092,100300,2026-04-24,North,Existing,Invoice Pro,4,15161.43,0.1,2729.06,Card,Completed,Referral,0
TX000093,102763,2026-03-15,South,Existing,Invoice Pro,5,21393.89,0.0,3850.9,Card,Completed,Online,1
TX000094,101227,2025-02-26,East,New,GST Filing,4,8174.02,0.0,1471.32,Card,Completed,Offline,1
TX000095,100302,2025-10-15,West,Existing,Invoice Pro,5,20397.52,0.05,3671.55,Card,Completed,Online,1
TX000096,102656,2025-03-30,East,Existing,GST Filing,1,1585.09,0.0,285.32,Cash,Completed,Online,3
TX000097,101511,2025-08-15,South,New,GST Filing,5,8048.05,0.05,1448.65,UPI,Completed,Online,1
TX000098,103624,2025-01-21,North,New,Data Analytics,2,20692.79,0.0,3724.7,Card,Completed,Referral,0
TX000099,100533,2025-11-25,Northeast,Existing,Invoice Pro,3,11480.92,0.1,2066.57,Bank Transfer,Completed,Referral,0
TX000100,104352,2026-01-07,North,Existing,Payroll,3,19387.15,0.05,3489.69,UPI,Completed,Online,1
TX000101,102676,2025-11-09,South,New,Invoice Pro,1,4400.04,0.0,792.01,Cash,Completed,Offline,1
TX000102,102966,2025-10-19,Central,Existing,Invoice Pro,5,21254.91,0.0,3825.88,Card,Completed,Online,0
TX000103,101951,2025-02-01,North,Existing,Payroll,5,33152.26,0.0,5967.41,Cash,Completed,Offline,1
TX000104,104062,2025-04-19,South,Existing,GST Filing,4,7048.83,0.0,1268.79,UPI,Completed,Online,3
TX000105,101310,2025-10-04,Northeast,Existing,GST Filing,1,1559.93,0.1,280.79,Card,Completed,Online,0
TX000106,100473,2025-06-01,Central,New,Payroll,2,13031.82,0.0,2345.73,Bank Transfer,Completed,Online,0
TX000107,101759,2026-02-27,Central,Existing,GST Filing,1,1556.89,0.05,280.24,Card,Completed,Offline,1
TX000108,102639,2025-09-20,Central,New,GST Filing,3,5696.61,0.0,1025.39,Card,Completed,Online,4
TX000109,103839,2025-01-08,North,New,Data Analytics,4,34677.78,0.0,6242.0,Bank Transfer,Completed,Online,3
TX000110,100503,2025-10-04,North,Existing,Data Analytics,5,51124.54,0.05,9202.42,Card,Completed,Online,0
TX000111,102603,2025-01-30,South,Existing,Data Analytics,1,10900.39,0.0,1962.07,Card,Completed,Online,1
TX000112,101008,2026-02-10,South,Existing,GST Filing,1,1977.36,0.05,355.92,Card,Completed,Referral,1
TX000113,104372,2025-08-05,Central,Existing,Invoice Pro,5,21747.27,0.0,3914.51,Card,Cancelled,Offline,0
TX000114,101847,2026-03-28,South,Existing,Data Analytics,1,-9118.65,0.05,-1641.36,UPI,Refunded,Online,1
TX000115,104878,2025-03-14,South,Existing,Payroll,5,36706.62,0.0,6607.19,UPI,Completed,Online,0
TX000116,100862,2025-08-18,South,Existing,GST Filing,4,6857.11,0.0,1234.28,UPI,Completed,Referral,2
TX000117,102237,2025-12-03,South,Existing,Invoice Pro,5,17894.36,0.1,3220.98,UPI,Completed,Offline,0
TX000118,101929,2025-05-18,Central,Existing,GST Filing,4,7385.03,0.0,1329.31,Cash,Completed,Offline,1
TX000119,103471,2026-05-03,South,New,Payroll,5,33255.78,0.0,5986.04,UPI,Completed,Referral,0
TX000120,103032,2026-03-15,South,New,Payroll,4,22493.23,0.15,4048.78,UPI,Completed,Offline,3
TX000121,100808,2025-09-08,Northeast,Existing,Invoice Pro,2,7154.73,0.1,1287.85,Card,Completed,Online,0
TX000122,102929,2025-11-03,West,Existing,Payroll,1,6708.68,0.05,1207.56,UPI,Completed,Online,0
TX000123,104164,2025-04-10,North,Existing,Invoice Pro,2,8424.74,0.0,1516.45,UPI,Completed,Online,3
TX000124,103634,2026-02-18,North,Existing,Invoice Pro,2,8963.45,0.0,1613.42,Bank Transfer,Completed,Online,0
TX000125,104515,2026-03-13,West,New,Invoice Pro,4,17158.92,0.05,3088.61,UPI,Completed,Referral,2
TX000126,100588,2025-05-07,South,Existing,Invoice Pro,3,12732.94,0.0,2291.93,Card,Completed,Online,3
TX000127,102444,2026-04-01,East,New,Invoice Pro,5,19365.98,0.0,3485.88,Bank Transfer,Completed,Online,3
TX000128,101081,2026-05-27,Central,Existing,GST Filing,1,1701.97,0.0,306.35,Cash,Completed,Online,1
TX000129,100042,2025-01-21,South,New,Data Analytics,2,16108.61,0.05,2899.55,Card,Completed,Online,1
TX000130,100072,2025-03-26,South,New,Payroll,3,17095.56,0.0,3077.2,UPI,Completed,Offline,1
TX000131,102937,2025-04-12,East,New,Invoice Pro,3,10669.22,0.05,1920.46,UPI,Completed,Referral,0
TX000132,104113,2025-01-04,Northeast,Existing,Data Analytics,2,17486.74,0.05,3147.61,Bank Transfer,Completed,Referral,2
TX000133,102126,2026-04-22,North,Existing,Invoice Pro,1,3959.24,0.05,712.66,UPI,Completed,Referral,0
TX000134,100535,2026-01-01,Northeast,New,GST Filing,3,5631.97,0.0,1013.75,UPI,Completed,Online,3
TX000135,100529,2026-02-08,North,Existing,GST Filing,4,6857.73,0.0,1234.39,Bank Transfer,Completed,Offline,1
TX000136,100984,2025-10-01,North,Existing,Invoice Pro,4,17150.61,0.0,3087.11,Cash,Completed,Referral,0
TX000137,102923,2026-03-30,North,Existing,Payroll,2,13633.12,0.0,2453.96,UPI,Completed,Online,2
TX000138,101129,2025-09-20,South,Existing,Invoice Pro,1,4977.23,0.0,895.9,UPI,Completed,Referral,1
TX000139,101840,2025-09-21,North,Existing,GST Filing,5,8562.77,0.0,1541.3,UPI,Completed,Online,2
TX000140,102983,2026-01-29,Northeast,Existing,Payroll,4,26438.82,0.1,4758.99,UPI,Completed,Referral,2
TX000141,104683,2025-12-31,East,Existing,Payroll,4,30133.91,0.0,5424.1,UPI,Completed,Offline,0
TX000142,103868,2025-06-05,South,Existing,Payroll,4,24987.14,0.1,4497.69,Card,Cancelled,Referral,3
TX000143,100445,2026-03-06,West,Existing,GST Filing,3,4835.76,0.1,870.44,UPI,Completed,Online,0
TX000144,103918,2026-04-23,South,Existing,Data Analytics,1,7557.53,0.15,1360.36,Card,Completed,Referral,1
TX000145,102724,2026-06-24,North,Existing,GST Filing,2,3748.87,0.0,674.8,Card,Completed,Online,2
TX000146,103729,2026-06-26,Central,New,GST Filing,1,1950.42,0.0,351.08,UPI,Completed,Offline,3
TX000147,104873,2026-02-23,North,Existing,Data Analytics,2,21683.59,0.0,3903.05,UPI,Completed,Online,1
TX000148,100577,2025-03-31,North,Existing,GST Filing,2,3704.43,0.0,666.8,UPI,Completed,Referral,1
TX000149,104840,2025-12-27,South,Existing,GST Filing,4,5911.8,0.05,1064.12,UPI,Completed,Online,2
TX000150,104843,2026-02-11,East,Existing,GST Filing,1,1696.14,0.1,305.31,UPI,Completed,Online,1
TX000151,101007,2026-04-12,South,Existing,Data Analytics,1,9374.53,0.0,1687.42,UPI,Cancelled,Offline,2
TX000152,103873,2026-03-14,East,New,Invoice Pro,2,8721.57,0.05,1569.88,Card,Completed,Offline,1
TX000153,104633,2025-06-03,South,New,Data Analytics,4,34773.0,0.0,6259.14,Card,Cancelled,Online,1
TX000154,100107,2025-08-22,East,Existing,Invoice Pro,3,11654.01,0.05,2097.72,Bank Transfer,Completed,Offline,3
TX000155,100226,2025-05-27,Central,New,Invoice Pro,4,16700.11,0.0,3006.02,Bank Transfer,Completed,Online,1
TX000156,102160,2025-12-20,Central,Existing,Invoice Pro,2,6999.91,0.1,1259.98,Bank Transfer,Completed,Offline,2
TX000157,102876,2025-05-27,North,Existing,Payroll,5,35057.42,0.1,6310.34,Card,Completed,Offline,1
TX000158,101577,2025-11-26,South,New,GST Filing,1,1599.6,0.1,287.93,UPI,Completed,Online,2
TX000159,101761,2025-01-31,South,Existing,GST Filing,1,1759.35,0.0,316.68,UPI,Completed,Referral,2
TX000160,100434,2025-04-12,Northeast,New,GST Filing,2,3790.93,0.05,682.37,Card,Completed,Offline,4
TX000161,104549,2025-03-20,East,Existing,Data Analytics,4,39865.24,0.05,7175.74,Bank Transfer,Completed,Referral,1
TX000162,103388,2025-10-18,Central,Existing,Data Analytics,2,15781.23,0.15,2840.62,Cash,Completed,Offline,1
TX000163,101994,2025-04-02,North,Existing,GST Filing,4,6066.94,0.15,1092.05,UPI,Completed,Offline,1
TX000164,104929,2025-10-05,Central,Existing,Data Analytics,1,8601.21,0.1,1548.22,Cash,Completed,Referral,1
TX000165,102021,2025-06-29,South,Existing,Data Analytics,3,30991.73,0.0,5578.51,UPI,Completed,Online,1
TX000166,103439,2026-04-02,Northeast,Existing,Invoice Pro,3,12163.05,0.0,2189.35,UPI,Completed,Online,0
TX000167,104241,2025-08-15,Central,New,Invoice Pro,1,4207.68,0.05,757.38,UPI,Completed,Online,0
TX000168,100335,2025-06-22,Central,New,Payroll,5,28622.45,0.1,5152.04,UPI,Completed,Online,2
TX000169,100156,2025-08-21,North,New,GST Filing,5,8702.36,0.1,1566.42,Bank Transfer,Completed,Online,3
TX000170,103504,2025-09-09,Central,Existing,GST Filing,2,3430.29,0.05,617.45,UPI,Completed,Offline,3
TX000171,103123,2025-12-14,Central,New,Payroll,4,29962.44,0.0,5393.24,UPI,Completed,Online,1
TX000172,102246,2026-03-08,North,Existing,GST Filing,4,7600.74,0.0,1368.13,Card,Completed,Online,1
TX000173,101244,2026-05-09,North,New,Payroll,3,-16988.74,0.1,-3057.97,UPI,Refunded,Online,1
TX000174,103011,2025-07-31,East,New,Payroll,2,13425.5,0.0,2416.59,Card,Completed,Offline,0
TX000175,101723,2025-04-26,West,New,Invoice Pro,1,3742.47,0.1,673.64,Card,Cancelled,Online,2
TX000176,100523,2025-02-11,North,Existing,Invoice Pro,5,20350.87,0.0,3663.16,Bank Transfer,Completed,Offline,2
TX000177,104601,2026-01-01,South,Existing,Invoice Pro,2,7446.49,0.1,1340.37,Bank Transfer,Completed,Offline,2
TX000178,102842,2026-07-02,Northeast,New,GST Filing,3,5609.69,0.0,1009.74,UPI,Completed,Online,3
TX000179,103437,2026-04-15,Northeast,Existing,GST Filing,2,3684.0,0.0,663.12,Cash,Completed,Online,1
TX000180,101144,2025-06-24,North,New,Invoice Pro,5,18107.06,0.0,3259.27,UPI,Completed,Online,0
TX000181,104581,2025-08-08,Central,Existing,Invoice Pro,3,13047.19,0.0,2348.49,UPI,Completed,Online,1
TX000182,104623,2026-02-12,Northeast,Existing,Data Analytics,2,17386.4,0.1,3129.55,UPI,Completed,Referral,2
TX000183,101310,2025-09-20,East,New,Invoice Pro,4,-16780.44,0.0,-3020.48,UPI,Refunded,Online,1
TX000184,104906,2025-04-05,Northeast,Existing,Payroll,4,25187.69,0.1,4533.78,UPI,Completed,Online,0
TX000185,104300,2025-01-08,East,Existing,Data Analytics,2,17941.76,0.05,3229.52,UPI,Completed,Online,0
TX000186,104122,2026-05-07,West,Existing,Payroll,3,21445.61,0.0,3860.21,Cash,Completed,Offline,0
TX000187,102083,2025-07-12,Central,Existing,Invoice Pro,3,11580.43,0.0,2084.48,Card,Completed,Online,0
TX000188,101285,2026-01-28,North,New,GST Filing,3,4822.29,0.0,868.01,Card,Completed,Offline,1
TX000189,100727,2026-02-26,South,New,GST Filing,1,1804.4,0.0,324.79,UPI,Completed,Referral,1
TX000190,102950,2026-05-30,North,New,Payroll,1,6810.2,0.05,1225.84,Card,Completed,Online,0
TX000191,102196,2026-01-29,Central,Existing,Payroll,3,17993.62,0.05,3238.85,UPI,Completed,Offline,1
TX000192,103380,2026-03-12,South,New,GST Filing,1,1399.51,0.0,251.91,UPI,Completed,Online,2
TX000193,103411,2025-05-23,South,Existing,Payroll,4,27649.07,0.05,4976.83,UPI,Completed,Online,2
TX000194,101043,2025-03-25,North,New,Payroll,2,14036.28,0.0,2526.53,UPI,Completed,Referral,2
TX000195,103268,2026-03-04,South,Existing,GST Filing,5,8175.87,0.05,1471.66,UPI,Completed,Online,3
TX000196,102353,2025-09-07,South,Existing,Payroll,5,32655.79,0.0,5878.04,UPI,Completed,Online,1
TX000197,103380,2026-06-08,East,Existing,GST Filing,3,4595.37,0.0,827.17,Bank Transfer,Completed,Offline,1
TX000198,100627,2025-11-19,West,Existing,Data Analytics,1,11254.1,0.0,2025.74,UPI,Completed,Offline,0
TX000199,102785,2026-05-22,West,Existing,Data Analytics,2,18735.63,0.05,3372.41,Bank Transfer,Completed,Online,2
TX000200,101485,2025-09-07,Central,New,Invoice Pro,2,8428.18,0.0,1517.07,UPI,Completed,Offline,2
TX000201,103650,2025-10-25,North,Existing,Payroll,3,20067.31,0.05,3612.12,UPI,Completed,Offline,0
TX000202,101953,2025-10-25,North,Existing,Invoice Pro,4,16792.45,0.05,3022.64,UPI,Completed,Online,3
TX000203,103410,2025-12-16,East,New,Payroll,4,26411.3,0.05,4754.03,UPI,Completed,Offline,4
TX000204,101686,2025-02-16,Northeast,Existing,Data Analytics,3,28314.15,0.0,5096.55,Card,Completed,Online,0
TX000205,104793,2026-05-03,South,New,Data Analytics,1,8836.93,0.0,1590.65,UPI,Completed,Online,1
TX000206,104746,2026-02-24,West,New,Invoice Pro,4,-16597.34,0.0,-2987.52,Card,Refunded,Online,4
TX000207,102163,2025-05-10,West,Existing,Data Analytics,1,9406.19,0.0,1693.11,Card,Completed,Online,0
TX000208,100012,2025-05-05,Central,Existing,GST Filing,4,6092.62,0.1,1096.67,Bank Transfer,Completed,Offline,1
TX000209,101499,2026-05-10,North,Existing,Data Analytics,1,11622.51,0.0,2092.05,Card,Completed,Online,1
TX000210,100237,2026-03-03,Northeast,Existing,GST Filing,3,5418.91,0.1,975.4,Card,Completed,Online,1
TX000211,104353,2025-05-09,Central,Existing,Invoice Pro,4,16459.75,0.05,2962.76,Bank Transfer,Completed,Online,0
TX000212,100590,2025-05-21,East,New,Data Analytics,5,40840.35,0.1,7351.26,Card,Completed,Offline,2
TX000213,103765,2025-12-09,West,New,Invoice Pro,5,20362.71,0.1,3665.29,Card,Completed,Referral,2
TX000214,104062,2025-02-12,Central,New,Invoice Pro,4,13257.71,0.1,2386.39,Card,Completed,Offline,3
TX000215,100747,2025-04-20,West,Existing,Invoice Pro,1,4001.0,0.05,720.18,UPI,Completed,Offline,1
TX000216,102878,2025-04-22,West,New,Invoice Pro,3,13046.43,0.0,2348.36,Card,Completed,Online,3
TX000217,100487,2026-01-01,North,Existing,Data Analytics,3,25364.37,0.0,4565.59,Card,Completed,Offline,1
TX000218,102380,2025-03-27,West,Existing,Payroll,4,31563.78,0.0,5681.48,UPI,Completed,Online,1
TX000219,104917,2026-02-21,West,New,GST Filing,5,8437.94,0.0,1518.83,Card,Completed,Online,2
TX000220,102406,2025-05-29,West,Existing,Data Analytics,4,34674.65,0.0,6241.44,Card,Completed,Online,1
TX000221,100121,2025-01-28,West,Existing,GST Filing,2,3639.69,0.05,655.14,UPI,Completed,Referral,0
TX000222,104718,2025-06-02,East,Existing,Invoice Pro,4,15171.26,0.1,2730.83,Card,Cancelled,Offline,1
TX000223,103240,2025-05-18,South,New,Data Analytics,4,37996.9,0.05,6839.44,UPI,Completed,Online,2
TX000224,102551,2025-09-19,East,Existing,Payroll,3,17286.98,0.15,3111.66,Bank Transfer,Completed,Offline,1
TX000225,104641,2025-05-24,South,New,GST Filing,3,4524.28,0.15,814.37,Card,Completed,Offline,1
TX000226,101875,2025-03-27,North,Existing,GST Filing,1,1487.46,0.05,267.74,Card,Completed,Offline,0
TX000227,100346,2025-12-07,West,Existing,Data Analytics,2,17784.61,0.0,3201.23,UPI,Completed,Offline,2
TX000228,100582,2025-12-14,East,New,Data Analytics,3,29169.65,0.05,5250.54,UPI,Completed,Online,0
TX000229,104237,2025-09-25,North,Existing,Invoice Pro,1,4738.18,0.0,852.87,Bank Transfer,Completed,Online,1
TX000230,100281,2025-06-29,Central,Existing,Data Analytics,3,25532.81,0.0,4595.91,UPI,Completed,Offline,2
TX000231,103643,2025-09-10,Central,Existing,Payroll,1,6381.91,0.0,1148.74,Cash,Completed,Referral,1
TX000232,101819,2026-04-13,South,Existing,Invoice Pro,1,4204.34,0.0,756.78,UPI,Completed,Offline,0
TX000233,101127,2025-04-12,South,Existing,Invoice Pro,4,16814.45,0.0,3026.6,UPI,Completed,Online,1
TX000234,100821,2025-01-18,North,Existing,Data Analytics,2,21241.11,0.0,3823.4,UPI,Completed,Online,0
TX000235,101934,2026-03-16,East,Existing,GST Filing,2,3286.49,0.05,591.57,UPI,Completed,Online,0
TX000236,102000,2026-02-28,Northeast,New,GST Filing,2,3535.31,0.05,636.36,UPI,Completed,Online,1
TX000237,101435,2026-06-26,North,New,Invoice Pro,4,19034.37,0.0,3426.19,Cash,Completed,Offline,3
TX000238,104037,2026-05-09,Central,New,GST Filing,4,8508.98,0.0,1531.62,Card,Completed,Referral,4
TX000239,103947,2026-02-03,Northeast,Existing,Payroll,3,16071.67,0.05,2892.9,Card,Completed,Online,1
TX000240,100271,2026-02-13,North,Existing,Payroll,3,20578.69,0.0,3704.16,UPI,Completed,Online,0
TX000241,103388,2026-06-12,South,Existing,Invoice Pro,4,15869.16,0.0,2856.45,Bank Transfer,Completed,Online,0
TX000242,100762,2025-07-12,East,New,Invoice Pro,4,16385.35,0.05,2949.36,UPI,Completed,Referral,0
TX000243,103742,2025-05-20,South,New,Payroll,5,33389.36,0.0,6010.08,UPI,Completed,Online,2
